ISIN,ausstiegskosten,bezugsverhaeltnis,einstiegskosten,erstelldatum,gesamtkosten_0,relative_gesamtkosten_0,risikoklasse,gesamtkosten_1,relative_gesamtkosten_1,gesamtkosten_2,relative_gesamtkosten_2
DE000MF8NVX2,"0,00","0,01","0,02095",16.10.2019,"2,09","0,02095",1,,,,
DE000MF8NVY0,"0,00","0,01","0,02084",16.10.2019,"2,08","0,02084",1,,,,
DE000MF8NVZ7,"0,00","0,01","0,02073",16.10.2019,"2,07","0,02073",1,,,,
DE000MF8NW08,"0,00","0,01","0,02062",16.10.2019,"2,06","0,02062",1,,,,
DE000MF8NW16,"0,00","0,01","0,02052",16.10.2019,"2,05","0,02052",1,,,,
DE000MF8NW24,"0,00","0,01","0,02041",16.10.2019,"2,04","0,02041",1,,,,
DE000MF8NW32,"0,00","0,01","0,02031",16.10.2019,"2,03","0,02031",1,,,,
DE000MF8NW40,"0,00","0,01","0,02021",16.10.2019,"2,02","0,02021",1,,,,
DE000MF8NW57,"0,00","0,01","0,0201",16.10.2019,"2,01","0,0201",1,,,,
DE000MF8NW65,"0,00","0,01","0,04882",16.10.2019,"4,88","0,04882",1,,,,
DE000MF8NW73,"0,00","0,01","0,02",16.10.2019,"2,00","0,02",1,,,,
DE000MF8NW81,"0,00","0,01","0,04858",16.10.2019,"4,86","0,04858",1,,,,
DE000MF8NW99,"0,00","0,01","0,0199",16.10.2019,"1,99","0,0199",1,,,,
DE000MF8NWA8,"0,00","0,01","0,01981",16.10.2019,"1,98","0,01981",1,,,,
DE000MF8NWB6,"0,00","0,01","0,04725",16.10.2019,"4,73","0,04725",1,,,,
DE000MF8NWC4,"0,00","0,01","0,01971",16.10.2019,"1,97","0,01971",1,,,,
DE000MF8NWD2,"0,00","0,01","0,0481",16.10.2019,"4,81","0,0481",1,,,,
DE000MF8NWE0,"0,00","0,01","0,01961",16.10.2019,"1,96","0,01961",1,,,,
DE000MF8NWF7,"0,00","0,01","0,04679",16.10.2019,"4,68","0,04679",1,,,,
DE000MF8NWG5,"0,00","0,01","0,04763",16.10.2019,"4,76","0,04763",1,,,,
DE000MF8NWH3,"0,00","0,01","0,01952",16.10.2019,"1,95","0,01952",1,,,,
DE000MF8NWJ9,"0,00","0,01","0,01942",16.10.2019,"1,94","0,01942",1,,,,
DE000MF8NWK7,"0,00","0,01","0,0474",16.10.2019,"4,74","0,0474",1,,,,
DE000MF8NWL5,"0,00","0,01","0,04717",16.10.2019,"4,72","0,04717",1,,,,
DE000MF8NWM3,"0,00","0,01","0,01933",16.10.2019,"1,93","0,01933",1,,,,
DE000MF8NWN1,"0,00","0,01","0,01923",16.10.2019,"1,92","0,01923",1,,,,
DE000MF8NWP6,"0,00","0,01","0,04695",16.10.2019,"4,69","0,04695",1,,,,
DE000MF8NWQ4,"0,00","0,01","0,01914",16.10.2019,"1,91","0,01914",1,,,,
DE000MF8NWR2,"0,00","0,01","0,04672",16.10.2019,"4,67","0,04672",1,,,,
DE000MF8NWS0,"0,00","0,01","0,0465",16.10.2019,"4,65","0,0465",1,,,,
DE000MF8NWT8,"0,00","0,01","0,01905",16.10.2019,"1,91","0,01905",1,,,,
DE000MF8NWU6,"0,00","0,01","0,04628",16.10.2019,"4,63","0,04628",1,,,,
DE000MF8U5Z2,"0,00","0,01","0,08583",16.10.2019,"8,58","0,08583",1,,,,
